Name,Subject,Rank,Score
TeddyBearsClub178,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562313738,1,654.230000
TeddyBearsClub6047,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236303437,2,653.360000
TeddyBearsClub5749,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235373439,3,652.860000
TeddyBearsClub8543,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238353433,4,652.730000
TeddyBearsClub6089,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236303839,5,652.350000
TeddyBearsClub2053,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232303533,6,652.230000
TeddyBearsClub7929,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237393239,7,652.230000
TeddyBearsClub5047,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235303437,8,651.360000
TeddyBearsClub9331,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239333331,9,651.240000
TeddyBearsClub849,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562383439,10,650.250000
TeddyBearsClub3619,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233363139,11,650.000000
TeddyBearsClub2098,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232303938,12,649.740000
TeddyBearsClub2705,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232373035,13,649.120000
TeddyBearsClub8170,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238313730,14,648.890000
TeddyBearsClub1000,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231303030,15,648.880000
TeddyBearsClub7019,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237303139,16,648.510000
TeddyBearsClub4001,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234303031,17,648.380000
TeddyBearsClub4482,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234343832,18,648.260000
TeddyBearsClub3320,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756233333230,19,648.140000
TeddyBearsClub1238,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231323338,20,648.140000
TeddyBearsClub9527,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239353237,21,648.130000
TeddyBearsClub1911,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231393131,22,647.890000
TeddyBearsClub2471,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232343731,23,645.020000
TeddyBearsClub5366,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235333636,24,644.020000
TeddyBearsClub4285,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234323835,25,641.540000
TeddyBearsClub4497,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234343937,26,597.010000
TeddyBearsClub4163,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234313633,27,595.270000
TeddyBearsClub1515,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231353135,28,595.260000
TeddyBearsClub6243,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236323433,29,588.670000
TeddyBearsClub6492,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236343932,30,566.170000
TeddyBearsClub54,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c75623534,31,565.790000
TeddyBearsClub5829,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235383239,32,565.680000
TeddyBearsClub2023,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232303233,33,565.310000
TeddyBearsClub5380,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756235333830,34,565.180000
TeddyBearsClub6078,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236303738,35,565.170000
TeddyBearsClub4557,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234353537,36,565.040000
TeddyBearsClub6127,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236313237,37,565.040000
TeddyBearsClub1689,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231363839,38,564.560000
TeddyBearsClub7563,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237353633,39,564.550000
TeddyBearsClub8157,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238313537,40,564.300000
TeddyBearsClub2413,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756232343133,41,564.180000
TeddyBearsClub6155,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236313535,42,563.560000
TeddyBearsClub9157,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756239313537,43,563.430000
TeddyBearsClub6176,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236313736,44,563.190000
TeddyBearsClub1706,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231373036,45,563.180000
TeddyBearsClub8811,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756238383131,46,563.060000
TeddyBearsClub6536,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236353336,47,563.050000
TeddyBearsClub4217,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234323137,48,562.950000
TeddyBearsClub7594,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237353934,49,562.940000
TeddyBearsClub6424,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236343234,50,562.940000
TeddyBearsClub4213,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234323133,51,562.930000
TeddyBearsClub1982,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756231393832,52,562.690000
TeddyBearsClub6420,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756236343230,53,562.450000
TeddyBearsClub7678,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237363738,54,562.440000
TeddyBearsClub4347,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756234333437,55,562.430000
TeddyBearsClub7407,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c756237343037,56,562.310000
TeddyBearsClub176,ab182ed76b669b49ee54a37dee0d0064ad4208a859cc4fdf3f906d8754656464794265617273436c7562313736,57,562.190000
